country_name,country_code_alpha3,country_code_alpha2,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Algeria,DZA,DZ,2021,5.43,2.52,8.83,4.48,5.47,2.83,1.59,3.6,4.1,3.45,14.7,4.91
Angola,AGO,AO,2021,162.68,153.68,186.7,119.89,18.06,0.97,0.86,4.14,23.64,78.04,148.2,163.05
Benin,BEN,BJ,2021,1.95,0.79,34.49,44.06,77.59,141.07,180.92,252.17,196.34,71.29,13.46,1.01
Botswana,BWA,BW,2021,95.37,82.42,45.94,23.82,3.79,1.04,0.31,0.6,2.45,16.45,47.83,84.56
Burkina Faso,BFA,BF,2021,0.01,0.62,6.33,15.08,73.61,124.89,191.77,264.05,116.32,45.96,1.46,0.65
Burundi,BDI,BI,2021,308.98,129.65,165.34,136.47,128.31,1.46,1.71,13.21,59.05,68.12,114.02,156.96
Cabo Verde,CPV,CV,2021,3.15,4.69,2.31,2.03,1.94,1.27,11.29,48.96,74.93,49.88,10.32,3.4
Cameroon,CMR,CM,2021,18.68,18.91,124.18,141.56,188.84,159.7,129.43,247.49,277.61,254.61,99.91,19.97
Central African Republic (the),CAF,CF,2021,13.67,17.67,69.42,81.21,148.65,165.22,213.93,265.04,250.65,171.65,54.64,7.79
Chad,TCD,TD,2021,0.42,0.59,2.28,4.42,10.14,38.51,84.95,164.69,53.16,18.64,1.12,0.54
Comoros (the),COM,KM,2021,280.8,327.72,207.18,344.48,129.69,246.54,116.24,80.34,47.47,58.34,76.45,165.39
Congo (Democratic Republic of),COD,CD,2021,144.51,120.26,164.36,158.66,109.26,61.63,61.42,95.95,130.34,158.77,179.65,157.9
Congo (Republic of),COG,CG,2021,159.0,110.15,156.97,187.11,154.74,79.81,57.26,109.44,130.23,138.38,202.17,156.77
Côte d'Ivoire,CIV,CI,2021,9.93,36.6,85.87,110.71,159.02,199.95,166.63,174.72,195.95,136.88,65.66,13.69
Djibouti,DJI,DJ,2021,3.53,9.99,9.81,10.09,16.95,2.94,43.36,40.21,19.06,8.35,6.89,7.96
Egypt,EGY,EG,2021,1.91,2.93,1.75,0.92,0.47,0.34,0.51,0.72,0.17,0.72,5.22,5.61
