Country,Name,Address,Latitude,Longitude
South Africa,Kynoch Fertilizer,"62 Wierda Road East,
 Sandton, 2146, 
 South Africa",-26.11089359,28.05981896
South Africa,Emnambithi Farmers Supply C C,"8 Albert St, Ladysmith, 3370, South Africa",-28.55706603,29.78907123
South Africa,Afrikelp (Pty) Ltd,"3 Engine Ave, Montague Gardens, Cape Town, 7441, South Africa",-33.87334292,18.52476437
South Africa,Agrilibrium,"322 Marks St, Waltloo, Pretoria, 0184, South Africa",-25.72481095,28.330876
South Africa,Aquasol - Port Elizabeth: Alben Warehousing and Distribution,"106 Swartkops St, Sydenham, Gqeberha, 6001, South Africa",-33.94566597,25.6089438
South Africa,Aquasol - Durban: SQM Warehouse,"34 Shadwell Rd, Maydon Wharf, Durban, 4001, South Africa",-29.88187472,30.99965287
South Africa,Bastion Lime,"1 Charl De Klerk St, Klerksdorp New Town, Klerksdorp, 2570, South Africa",-26.85782057,26.67670326
Zimbabwe,Chemplex Corporation Limited,"93 Park Ln, Harare, Zimbabwe",-17.82311521,31.04907869
South Africa,DFERT,"21 9de Ave, Bothaville, 9660, South Africa",-27.37509417,26.63054957
South Africa,Gavilon South Africa,"Ballyoaks Office Park, 35 Ballyclare Dr, Bryanston, 2191, South Africa",-25.86113846,28.08140987
South Africa,Durban Gavilon,"6577 Methven Rd, Maydon Wharf, Durban, 4001, South Africa",-29.62795336,30.9803225
Pretoria,H. Pistorius & Kie,"50 Frances Street
 Colbyn, Pretoria",-25.74230767,28.23775424
South Africa,Industrial Commodities Holdings (Pty) Ltd,"57 Eastwood Rd, Dunkeld, Randburg, 2196, South Africa",-26.14019195,28.04411978
South Africa,Kalkor (Pty) Ltd,"1 Verona Office Pk, Hans Strijdom Dve, Robindale, Randburg, 2194, South Africa",-26.11614777,27.99048038
South Africa,Liquid Nutrient Technologies (Pty) Ltd,"132 Sea Cow Lake Rd, Briardene, Durban North, 4051, South Africa",-29.8076518,31.00741671
South Africa,Liquigro Holdings (Pty) Ltd,"17 Buffelsdoorn Rd, Wilkoppies, Klerksdorp, 2571, South Africa",-26.83252171,26.66210419
South Africa,MBFi,"No. 144 Avenue 2, Modder East Orchards, Delmas, 2210, South Africa",-26.1249808,28.59536571
South Africa,Omnia Fertilizer,"Building H, Monte Circle, 178 Montecasino Blvd, Fourways, Sandton, 2055, South Africa",-25.94033441,28.02696366
South Africa,SA Lime & Gymsum - Cape Town,"SA Lime & Gypsum
 Posbus 688
 Stellenbosch
 7599",-33.96498951,18.83700833
South Africa,Shiman,"Marwyn AH, Olifantsfontein, South Africa",-22.1675705,27.45147836
Tanzania,Tanzania Crop Care,"HPW6+F4M, Arusha, Tanzania",-3.403021847,36.71047162
Tanzania, Tanzania Fertilizer Company Ltd ,"67QH+258, Dar es Salaam, Tanzania",-6.039394793,39.19121165
Tanzania, YARA TANZANIA LIMITED ,"576Q+FJR, Dar es Salaam, Tanzania",-6.838519334,39.28912287
Tanzania, OCP (T) LTD ,"67JJ+967, Oysterbay Plazza, Mikumi, Tanzania",-6.768454379,39.28077323
Kenya, Berium Group Ltd ,"Loita Street,Pension Towers,14th Floor, Nairobi, Kenya",-1.282439561,36.81814645
Kenya, Yara Kenya ,"Longonot Road 12th Floor, Crowne Plaza Hotel, Kenya",-1.299430577,36.81493486
Kenya, Mea Ltd ,"Riara Gardens, off Riara Road, Kenya",-0.885248876,36.78452359
Kenya, Export Trading Group Nairobi Office ,"57661 Woodlands Rd, Kenya",1.606315548,38.11768687
Kenya, Elgon Kenya Ltd ,"Behind Lab & Allied, National Park East Gate Road, Off Mombasa Road, Kenya",-1.332068702,36.86543027
Kenya, Osho Chemical Industries Ltd ,"Sasio Road, Off Lunga Lunga Rd, Nairobi, Kenya",-1.307715285,36.87217204
Kenya, Murphy Chemicals (East Africa) Ltd ,"Murphy Chemicals E A Premises, Baba Dogo Rd, Nairobi, Kenya",-1.24336717,36.88486977
Kenya, Ocean Agriculture East Africa Ltd ,"Off Mushroom Rd, Kiambu, Kenya",-1.193853654,36.84246598
Uganda, Uganda Crop Care Limited ,"Plot-96, Godown No- N 7-C, Madhvani Business Park, 98 Fifth St, Kampala, Uganda",0.31875769,32.61384249
Uganda, Grow More Seeds & Chemicals Ltd ,"21 Luthuli Ave, Kampala, Uganda",0.317933105,32.61743912
Uganda, Vart Africa Solutions Limited ,"Plot 20, Erute Road, Lira, Uganda",2.243545828,32.90286687
Angola, ANGOPRI - Loja de Luanda ,"Avenida Fidel Castro, Klm 18, Viana, Angola",-8.060987401,13.40672138
Angola," Angopri, Lda ","Rua Tomás Vieira da Cruz, N.º 8 cx.postal 179 Benguela, Benguela, Angola",-11.61093233,13.53855732
Angola, BRASAFRICA - Loja Gamek ,"Gamek, Av. Pedro de Castro Van-Dúnem Loy, Angola",-7.824824106,13.18152188
Angola, BRASAFRICA - Catete ,"Matriz: Estrada Viana-Catete, km 53 Angola, Luanda, Desvio de Mazozo, Angola",-8.129464259,13.75281094
Angola, FertiAngola ,"6XXV+24V, EN120, Angola",-9.865577282,15.0711703
Angola, Fazenda AGRIPOL ,"9JH8+GP9, Caxito, Angola",-7.563526357,13.53308438
Angola," Globalway, Lda ","Edifício Monumental, R. Maj. Kanhangulo 290, Luanda, Angola",-7.737742778,13.40124844
