x_idx,y_idx,Fertility Capability Classification,Soil Nitrogen,Soil Phosphorous,Soil Potassium,Soil pH,fcc_description,fcc_al_toxicity,fcc_calcareous,fcc_gravelly,fcc_high_erosion_risk_-_shallow_depth,fcc_high_erosion_risk_-_steep_slope,fcc_high_erosion_risk_-_textual_contrast,fcc_high_leaching_potential,fcc_low_k,fcc_no_constraints,fcc_no_data,fcc_shallow,fcc_slope,fcc_sulfidic,country
0,0,2535,118716010000.0,118716010000.0,118716010000.0,25.5,No data,0,0,0,0,0,0,0,0,0,1,0,0,0,Angola
0,1,2535,118716010000.0,118716010000.0,118716010000.0,25.5,No data,0,0,0,0,0,0,0,0,0,1,0,0,0,Angola
0,2,2535,118716010000.0,118716010000.0,118716010000.0,25.5,No data,0,0,0,0,0,0,0,0,0,1,0,0,0,Angola
0,3,2535,118716010000.0,118716010000.0,118716010000.0,25.5,No data,0,0,0,0,0,0,0,0,0,1,0,0,0,Angola
0,4,2535,118716010000.0,118716010000.0,118716010000.0,25.5,No data,0,0,0,0,0,0,0,0,0,1,0,0,0,Angola
0,5,2535,118716010000.0,118716010000.0,118716010000.0,25.5,No data,0,0,0,0,0,0,0,0,0,1,0,0,0,Angola
0,6,2535,118716010000.0,118716010000.0,118716010000.0,25.5,No data,0,0,0,0,0,0,0,0,0,1,0,0,0,Angola
0,7,2535,118716010000.0,118716010000.0,118716010000.0,25.5,No data,0,0,0,0,0,0,0,0,0,1,0,0,0,Angola
0,8,2535,118716010000.0,118716010000.0,118716010000.0,25.5,No data,0,0,0,0,0,0,0,0,0,1,0,0,0,Angola
0,9,2535,118716010000.0,118716010000.0,118716010000.0,25.5,No data,0,0,0,0,0,0,0,0,0,1,0,0,0,Angola
0,10,2535,118716010000.0,118716010000.0,118716010000.0,25.5,No data,0,0,0,0,0,0,0,0,0,1,0,0,0,Angola
0,11,2535,118716010000.0,118716010000.0,118716010000.0,25.5,No data,0,0,0,0,0,0,0,0,0,1,0,0,0,Angola
0,12,2535,118716010000.0,118716010000.0,118716010000.0,25.5,No data,0,0,0,0,0,0,0,0,0,1,0,0,0,Angola
0,13,2535,118716010000.0,118716010000.0,118716010000.0,25.5,No data,0,0,0,0,0,0,0,0,0,1,0,0,0,Angola
0,14,2535,118716010000.0,118716010000.0,118716010000.0,25.5,No data,0,0,0,0,0,0,0,0,0,1,0,0,0,Angola
0,15,2535,118716010000.0,118716010000.0,118716010000.0,25.5,No data,0,0,0,0,0,0,0,0,0,1,0,0,0,Angola
