x_idx,y_idx,Fertility Capability Classification,Soil Nitrogen,Soil Phosphorous,Soil Potassium,Soil pH,fcc_description,fcc_al_toxicity,fcc_calcareous,fcc_gravelly,fcc_high_erosion_risk_-_shallow_depth,fcc_high_erosion_risk_-_steep_slope,fcc_high_erosion_risk_-_textual_contrast,fcc_high_leaching_potential,fcc_low_k,fcc_no_constraints,fcc_no_data,fcc_shallow,fcc_slope,fcc_sulfidic
0,0,676,109096.8,8.025014,98.484314,5.3,"Slope, High erosion risk - steep slope, Al toxicity, Low K",1,0,0,0,1,0,0,1,0,0,0,1,0
0,1,676,73129.445,8.974182,89.01713,5.3,"Slope, High erosion risk - steep slope, Al toxicity, Low K",1,0,0,0,1,0,0,1,0,0,0,1,0
0,2,676,89320.73,10.023176,89.01713,5.2,"Slope, High erosion risk - steep slope, Al toxicity, Low K",1,0,0,0,1,0,0,1,0,0,0,1,0
0,3,676,89320.73,11.182494,89.01713,5.2,"Slope, High erosion risk - steep slope, Al toxicity, Low K",1,0,0,0,1,0,0,1,0,0,0,1,0
0,4,676,98714.77,12.463738,89.01713,5.3,"Slope, High erosion risk - steep slope, Al toxicity, Low K",1,0,0,0,1,0,0,1,0,0,0,1,0
0,5,676,73129.445,13.879732,98.484314,5.3,"Slope, High erosion risk - steep slope, Al toxicity, Low K",1,0,0,0,1,0,0,1,0,0,0,1,0
0,6,676,66170.164,12.463738,98.484314,5.2,"Slope, High erosion risk - steep slope, Al toxicity, Low K",1,0,0,0,1,0,0,1,0,0,0,1,0
0,7,676,89320.73,12.463738,89.01713,5.3,"Slope, High erosion risk - steep slope, Al toxicity, Low K",1,0,0,0,1,0,0,1,0,0,0,1,0
0,8,676,109096.8,8.974182,89.01713,5.3,"Slope, High erosion risk - steep slope, Al toxicity, Low K",1,0,0,0,1,0,0,1,0,0,0,1,0
0,9,676,98714.77,10.023176,89.01713,5.3,"Slope, High erosion risk - steep slope, Al toxicity, Low K",1,0,0,0,1,0,0,1,0,0,0,1,0
0,10,676,59873.14,8.974182,89.01713,5.4,"Slope, High erosion risk - steep slope, Al toxicity, Low K",1,0,0,0,1,0,0,1,0,0,0,1,0
0,11,644,59873.14,8.974182,89.01713,5.2,"Slope, Al toxicity, Low K",1,0,0,0,0,0,0,1,0,0,0,1,0
0,12,644,66170.164,8.025014,108.947174,5.3,"Slope, Al toxicity, Low K",1,0,0,0,0,0,0,1,0,0,0,1,0
0,13,676,98714.77,7.16617,98.484314,5.4,"Slope, High erosion risk - steep slope, Al toxicity, Low K",1,0,0,0,1,0,0,1,0,0,0,1,0
0,14,548,133251.36,8.025014,98.484314,5.5,"Slope, High erosion risk - steep slope, Low K",0,0,0,0,1,0,0,1,0,0,0,1,0
0,15,676,147265.62,8.025014,108.947174,5.4,"Slope, High erosion risk - steep slope, Al toxicity, Low K",1,0,0,0,1,0,0,1,0,0,0,1,0
0,16,676,147265.62,8.025014,120.510414,5.5,"Slope, High erosion risk - steep slope, Al toxicity, Low K",1,0,0,0,1,0,0,1,0,0,0,1,0
0,17,676,133251.36,8.025014,108.947174,5.4,"Slope, High erosion risk - steep slope, Al toxicity, Low K",1,0,0,0,1,0,0,1,0,0,0,1,0
0,18,676,133251.36,8.025014,108.947174,5.4,"Slope, High erosion risk - steep slope, Al toxicity, Low K",1,0,0,0,1,0,0,1,0,0,0,1,0
0,19,676,98714.77,7.16617,98.484314,5.4,"Slope, High erosion risk - steep slope, Al toxicity, Low K",1,0,0,0,1,0,0,1,0,0,0,1,0
0,20,676,162753.8,7.16617,98.484314,5.3,"Slope, High erosion risk - steep slope, Al toxicity, Low K",1,0,0,0,1,0,0,1,0,0,0,1,0
0,21,676,268336.28,7.16617,108.947174,5.3,"Slope, High erosion risk - steep slope, Al toxicity, Low K",1,0,0,0,1,0,0,1,0,0,0,1,0
0,22,676,296557.56,7.16617,98.484314,5.3,"Slope, High erosion risk - steep slope, Al toxicity, Low K",1,0,0,0,1,0,0,1,0,0,0,1,0
0,23,676,133251.36,8.974182,108.947174,5.3,"Slope, High erosion risk - steep slope, Al toxicity, Low K",1,0,0,0,1,0,0,1,0,0,0,1,0
0,24,164,162753.8,8.025014,120.510414,5.4,"Slope, High erosion risk - steep slope, Al toxicity",1,0,0,0,1,0,0,0,0,0,0,1,0
0,25,676,109096.8,6.389056,108.947174,5.2,"Slope, High erosion risk - steep slope, Al toxicity, Low K",1,0,0,0,1,0,0,1,0,0,0,1,0
0,26,676,66170.164,8.025014,108.947174,5.3,"Slope, High erosion risk - steep slope, Al toxicity, Low K",1,0,0,0,1,0,0,1,0,0,0,1,0
0,27,644,109096.8,7.16617,98.484314,5.2,"Slope, Al toxicity, Low K",1,0,0,0,0,0,0,1,0,0,0,1,0
0,28,644,98714.77,8.025014,108.947174,5.3,"Slope, Al toxicity, Low K",1,0,0,0,0,0,0,1,0,0,0,1,0
0,29,644,98714.77,6.389056,108.947174,5.4,"Slope, Al toxicity, Low K",1,0,0,0,0,0,0,1,0,0,0,1,0
0,30,644,59873.14,6.389056,98.484314,5.3,"Slope, Al toxicity, Low K",1,0,0,0,0,0,0,1,0,0,0,1,0
0,31,644,98714.77,6.389056,108.947174,5.3,"Slope, Al toxicity, Low K",1,0,0,0,0,0,0,1,0,0,0,1,0
0,32,644,162753.8,7.16617,108.947174,5.3,"Slope, Al toxicity, Low K",1,0,0,0,0,0,0,1,0,0,0,1,0
0,33,516,80820.64,6.389056,108.947174,5.5,"Slope, Low K",0,0,0,0,0,0,0,1,0,0,0,1,0
0,34,548,109096.8,7.16617,98.484314,5.5,"Slope, High erosion risk - steep slope, Low K",0,0,0,0,1,0,0,1,0,0,0,1,0
0,35,676,147265.62,7.16617,89.01713,5.2,"Slope, High erosion risk - steep slope, Al toxicity, Low K",1,0,0,0,1,0,0,1,0,0,0,1,0
